Year,Rail,Barge,Truck
1978,"4,910",99,"2,157"
1979,"5,469",89,"2,321"
1980,"6,495",133,"1,865"
1981,"5,969",342,"2,003"
1982,"5,663",289,"1,962"
1983,"7,666",403,"2,392"
1984,"5,724",589,"4,803"
1985,"4,870",324,"4,786"
1986,"6,933",407,"4,837"
1987,"6,717",765,"4,695"
1988,"6,433",703,"4,168"
1989,"5,565",486,"3,401"
1990,"5,962",488,"4,068"
1991,"5,315",682,"4,275"
1992,"5,886",602,"2,800"
1993,"5,260",533,"2,998"
1994,"6,662",297,"3,925"
1995,"6,509",690,"2,195"
1996,"4,851",325,"3,862"
1997,"4,522",541,"3,259"
1998,"3,713",280,"3,485"
1999,"3,919",307,"2,909"
2000,"3,577",478,"3,345"
2001,"3,412",204,"3,189"
2002,"3,254",170,"2,620"
2003,"3,826",196,"1,720"
2004,"3,264",130,"2,144"
2005,"3,182",207,"2,101"
2006,"2,969",179,"1,877"
2007,"3,028",247,"2,572"
2008,"3,061",198,"2,081"
2009,"2,803",68,"1,953"
2010,"2,661",36,"2,073"
2011,"2,557",123,"1,895"
2012,"2,520",100,"2,062"
2013,"2,751",83,"1,951"
2014,"2,660",203,"2,034"
